ProfessionalExperience	AvgPerfChange	AvgPerfChangeDMG	AvgPerfChangeFG
1yearorless	1.71	2.00	1.50
2-3years	1.39	1.67	1.11
4-5years	0.36	1.00	-0.40
6yearsormore	1.50	1.00	2.00
