SpearPhishingConfidenceText	SpearPhishingConfidenceChange	ConfidenceChangeCount
LowConfidence	Somewhat positively	1
ModerateConfidence	Somewhat negatively	1
ModerateConfidence	No change at all	1
ModerateConfidence	Somewhat positively	5
HighConfidence	Somewhat negatively	2
HighConfidence	No change at all	1
HighConfidence	Somewhat positively	4
HighConfidence	Very positively	3
FullConfidence	Somewhat negatively	1
