Training	AvgPerfChangeGeneral	AvgPerfChangeDMG	AvgPerfChangeFG
NoTraining	1.313	1.889	0.571
FormalOnly	1.333	2.000	0.000
InformalOnly	1.167	0.000	1.750
FormalAndInformal	0.923	1.167	0.714
