EducationGroup	AvgPerfChange	AvgPerfChangeDMG	AvgPerfChangeFG
SecondaryEducation	1.27	1.67	0.93
BachelorDegreeOrEquivalent	1.00	1.14	0.75
PostgraduateMaster	0.00	0.00	0.00
