EducationGroup	AvgPerfChange	AvgPerfChangeDMG	AvgPerfChangeFG
Secondary Education	1.27	1.67	0.93
Bachelor degree or equivalent	1.00	1.14	0.75
Postgraduate Master	0.00	0.00	0.00
